State,Date,Hourly Demand Met (in MW)
Delhi - 2017,20-Jan 10pm,2754.63
Delhi - 2017,20-Jan 11pm,2336.82
Delhi - 2017,21-Jan 12am,1980.79
Delhi - 2017,21-Jan 1am,1754.70
Delhi - 2017,21-Jan 2am,1654.93
Delhi - 2017,21-Jan 3am,1617.05
Delhi - 2017,21-Jan 4am,1660.30
Delhi - 2017,21-Jan 5am,1958.52
Delhi - 2017,21-Jan 6am,2659.50
Delhi - 2017,21-Jan 7am,3340.28
Delhi - 2017,21-Jan 8am,3669.00
Delhi - 2017,21-Jan 9am,3842.15
Delhi - 2017,21-Jan 10am,3955.44
Delhi - 2017,21-Jan 11am,3751.62
Delhi - 2017,21-Jan 12pm,3474.12
Delhi - 2017,21-Jan 1pm,3165.69
Delhi - 2017,21-Jan 2pm,3031.20
Delhi - 2017,21-Jan 3pm,2976.23
Delhi - 2017,21-Jan 4pm,2944.52
Delhi - 2017,21-Jan 5pm,3117.93
Delhi - 2017,21-Jan 6pm,3387.63
Delhi - 2017,21-Jan 7pm,3391.26
Delhi - 2017,21-Jan 8pm,3175.69
Delhi - 2017,21-Jan 9pm,2917.16
Delhi - 2017,21-Jan 10pm,2638.37
Delhi - 2017,21-Jan 11pm,2226.63
Delhi - 2017,22-Jan 12am,1872.65
Delhi - 2017,22-Jan 1am,1674.79
Delhi - 2017,22-Jan 2am,1573.93
Delhi - 2017,22-Jan 3am,1528.59
Delhi - 2017,22-Jan 4am,1555.13
Delhi - 2017,22-Jan 5am,1742.00
Delhi - 2017,22-Jan 6am,2195.30
Delhi - 2017,22-Jan 7am,2815.45
Delhi - 2017,22-Jan 8am,3393.55
Delhi - 2017,22-Jan 9am,3711.01
Delhi - 2017,22-Jan 10am,3972.53
Delhi - 2017,22-Jan 11am,3946.25
Delhi - 2017,22-Jan 12pm,3696.77
Delhi - 2017,22-Jan 1pm,3252.20
Delhi - 2017,22-Jan 2pm,2994.99
Delhi - 2017,22-Jan 3pm,2801.72
Delhi - 2017,22-Jan 4pm,2715.06
Delhi - 2017,22-Jan 5pm,2840.14
Delhi - 2017,22-Jan 6pm,3179.15
Delhi - 2017,22-Jan 7pm,3201.49
Delhi - 2017,22-Jan 8pm,3004.51
Delhi - 2017,22-Jan 9pm,2786.17
Delhi - 2017,22-Jan 10pm,2477.06
Delhi - 2017,22-Jan 11pm,2091.55
Delhi - 2017,23-Jan 12am,1781.31
Delhi - 2017,23-Jan 1am,1625.44
Delhi - 2017,23-Jan 2am,1560.50
Delhi - 2017,23-Jan 3am,1523.45
Delhi - 2017,23-Jan 4am,1599.49
Delhi - 2017,23-Jan 5am,1940.49
Delhi - 2017,23-Jan 6am,2780.19
Delhi - 2017,23-Jan 7am,3441.79
Delhi - 2017,23-Jan 8am,3665.86
Delhi - 2017,23-Jan 9am,3795.35
Delhi - 2017,23-Jan 10am,3852.01
Delhi - 2017,23-Jan 11am,3647.28
Delhi - 2017,23-Jan 12pm,3397.00
Delhi - 2017,23-Jan 1pm,3032.73
Delhi - 2017,23-Jan 2pm,2985.37
Delhi - 2017,23-Jan 3pm,2949.79
Delhi - 2017,23-Jan 4pm,2913.79
Delhi - 2017,23-Jan 5pm,3063.17
Delhi - 2017,23-Jan 6pm,3348.73
Delhi - 2017,23-Jan 7pm,3319.37
Delhi - 2017,23-Jan 8pm,3118.51
Delhi - 2017,23-Jan 9pm,2839.53
Delhi - 2017,23-Jan 10pm,2558.75
Delhi - 2017,23-Jan 11pm,2159.97
Delhi - 2017,24-Jan 12am,1820.44
Delhi - 2017,24-Jan 1am,1655.13
Delhi - 2017,24-Jan 2am,1569.93
Delhi - 2017,24-Jan 3am,1527.81
Delhi - 2017,24-Jan 4am,1611.78
Delhi - 2017,24-Jan 5am,1968.39
Delhi - 2017,24-Jan 6am,2846.58
Delhi - 2017,24-Jan 7am,3495.10
Delhi - 2017,24-Jan 8am,3668.86
Delhi - 2017,24-Jan 9am,3747.11
Delhi - 2017,24-Jan 10am,3796.04
Delhi - 2017,24-Jan 11am,3577.98
Delhi - 2017,24-Jan 12pm,3332.51
Delhi - 2017,24-Jan 1pm,2946.40
Delhi - 2017,24-Jan 2pm,2921.59
Delhi - 2017,24-Jan 3pm,2895.25
Delhi - 2017,24-Jan 4pm,2863.97
Delhi - 2017,24-Jan 5pm,3064.33
Delhi - 2017,24-Jan 6pm,3355.23
Delhi - 2017,24-Jan 7pm,3321.62
Delhi - 2017,24-Jan 8pm,3059.83
Delhi - 2017,24-Jan 9pm,2806.32
Delhi - 2017,24-Jan 10pm,2530.85
Delhi - 2017,24-Jan 11pm,2129.54
Delhi - 2017,25-Jan 12am,1820.44
Delhi - 2017,25-Jan 1am,1655.13
Delhi - 2017,25-Jan 2am,1569.93
Delhi - 2017,25-Jan 3am,1527.81
Delhi - 2017,25-Jan 4am,1611.78
Delhi - 2017,25-Jan 5am,1968.39
Delhi - 2017,25-Jan 6am,2846.58
Delhi - 2017,25-Jan 7am,3495.10
Delhi - 2017,25-Jan 8am,3668.86
Delhi - 2017,25-Jan 9am,3737.77
Delhi - 2017,25-Jan 10am,3826.24
Delhi - 2017,25-Jan 11am,3661.03
Delhi - 2017,25-Jan 12pm,3399.65
Delhi - 2017,25-Jan 1pm,3025.43
Delhi - 2017,25-Jan 2pm,2988.73
