State,Date,Hourly Demand Met (in MW)
Delhi - 2024,14-Jan 5am,2079.72
Delhi - 2024,14-Jan 6am,2614.50
Delhi - 2024,14-Jan 7am,3335.15
Delhi - 2024,14-Jan 8am,4135.76
Delhi - 2024,14-Jan 9am,4751.31
Delhi - 2024,14-Jan 10am,5289.75
Delhi - 2024,14-Jan 11am,5303.12
Delhi - 2024,14-Jan 12pm,5048.53
Delhi - 2024,14-Jan 1pm,4466.99
Delhi - 2024,14-Jan 2pm,4047.50
Delhi - 2024,14-Jan 3pm,3715.30
Delhi - 2024,14-Jan 4pm,3582.46
Delhi - 2024,14-Jan 5pm,3730.34
Delhi - 2024,14-Jan 6pm,4042.49
Delhi - 2024,14-Jan 7pm,4025.58
Delhi - 2024,14-Jan 8pm,3929.65
Delhi - 2024,14-Jan 9pm,3818.67
Delhi - 2024,14-Jan 10pm,3442.23
Delhi - 2024,14-Jan 11pm,2875.26
Delhi - 2024,15-Jan 12am,2336.23
Delhi - 2024,15-Jan 1am,1998.87
Delhi - 2024,15-Jan 2am,1817.10
Delhi - 2024,15-Jan 3am,1737.98
Delhi - 2024,15-Jan 4am,1828.64
Delhi - 2024,15-Jan 5am,2210.62
Delhi - 2024,15-Jan 6am,3138.85
Delhi - 2024,15-Jan 7am,4363.26
Delhi - 2024,15-Jan 8am,4993.29
Delhi - 2024,15-Jan 9am,5172.54
Delhi - 2024,15-Jan 10am,5313.16
Delhi - 2024,15-Jan 11am,5131.71
Delhi - 2024,15-Jan 12pm,4746.10
Delhi - 2024,15-Jan 1pm,4236.97
Delhi - 2024,15-Jan 2pm,4074.79
Delhi - 2024,15-Jan 3pm,3984.46
Delhi - 2024,15-Jan 4pm,3913.12
Delhi - 2024,15-Jan 5pm,4120.23
Delhi - 2024,15-Jan 6pm,4370.28
Delhi - 2024,15-Jan 7pm,4316.96
Delhi - 2024,15-Jan 8pm,4170.10
Delhi - 2024,15-Jan 9pm,3948.09
Delhi - 2024,15-Jan 10pm,3613.74
Delhi - 2024,15-Jan 11pm,2994.93
Delhi - 2024,16-Jan 12am,2419.73
Delhi - 2024,16-Jan 1am,2074.83
Delhi - 2024,16-Jan 2am,1900.11
Delhi - 2024,16-Jan 3am,1821.58
Delhi - 2024,16-Jan 4am,1893.17
Delhi - 2024,16-Jan 5am,2233.62
Delhi - 2024,16-Jan 6am,3083.30
Delhi - 2024,16-Jan 7am,4294.36
Delhi - 2024,16-Jan 8am,4945.47
Delhi - 2024,16-Jan 9am,5055.38
Delhi - 2024,16-Jan 10am,5335.21
Delhi - 2024,16-Jan 11am,5185.12
Delhi - 2024,16-Jan 12pm,4861.75
Delhi - 2024,16-Jan 1pm,4338.70
Delhi - 2024,16-Jan 2pm,4231.82
Delhi - 2024,16-Jan 3pm,4198.93
Delhi - 2024,16-Jan 4pm,4129.66
Delhi - 2024,16-Jan 5pm,4334.83
Delhi - 2024,16-Jan 6pm,4584.84
Delhi - 2024,16-Jan 7pm,4547.65
Delhi - 2024,16-Jan 8pm,4368.83
Delhi - 2024,16-Jan 9pm,4165.17
Delhi - 2024,16-Jan 10pm,3721.92
Delhi - 2024,16-Jan 11pm,3030.57
Delhi - 2024,17-Jan 12am,2449.66
Delhi - 2024,17-Jan 1am,2093.10
Delhi - 2024,17-Jan 2am,1924.51
Delhi - 2024,17-Jan 3am,1846.20
Delhi - 2024,17-Jan 4am,1914.95
Delhi - 2024,17-Jan 5am,2266.38
Delhi - 2024,17-Jan 6am,3128.68
Delhi - 2024,17-Jan 7am,4360.01
Delhi - 2024,17-Jan 8am,5024.95
Delhi - 2024,17-Jan 9am,5210.02
Delhi - 2024,17-Jan 10am,5466.60
Delhi - 2024,17-Jan 11am,5303.05
Delhi - 2024,17-Jan 12pm,4905.54
Delhi - 2024,17-Jan 1pm,4398.55
Delhi - 2024,17-Jan 2pm,4270.45
Delhi - 2024,17-Jan 3pm,4115.04
Delhi - 2024,17-Jan 4pm,4108.82
Delhi - 2024,17-Jan 5pm,4253.35
Delhi - 2024,17-Jan 6pm,4457.93
Delhi - 2024,17-Jan 7pm,4477.36
Delhi - 2024,17-Jan 8pm,4268.49
Delhi - 2024,17-Jan 9pm,4071.35
Delhi - 2024,17-Jan 10pm,3736.69
Delhi - 2024,17-Jan 11pm,3103.06
Delhi - 2024,18-Jan 12am,2489.02
Delhi - 2024,18-Jan 1am,2124.06
